Stock,Date,Actual,Forecast
MSFT,2024-09-05,408.3900146484376,415.8281464717559
MSFT,2024-09-06,401.70001220703114,416.6109971084729
MSFT,2024-09-09,405.720001220703,417.34801266995737
MSFT,2024-09-10,414.2000122070312,417.44947841741697
MSFT,2024-09-11,423.0400085449217,417.5814441130685
MSFT,2024-09-12,427.0000000000001,417.8162032944308
MSFT,2024-09-13,430.5899963378908,418.2496567759573
MSFT,2024-09-16,431.3399963378908,418.5939399524788
MSFT,2024-09-17,435.1499938964842,419.8645574200908
MSFT,2024-09-18,430.80999755859386,420.52988570321554
MSFT,2024-09-19,438.6900024414061,420.61936198394653
MSFT,2024-09-20,435.2699890136719,420.92605422197283
MSFT,2024-09-23,433.51000976562517,421.69425683627975
MSFT,2024-09-24,429.1700134277342,422.6011186517383
MSFT,2024-09-25,432.10998535156267,423.7461425971206
MSFT,2024-09-26,431.3099975585936,424.8060510481191
MSFT,2024-09-27,428.0199890136719,425.64807951691506
MSFT,2024-09-30,430.2999877929688,426.3839431872229
MSFT,2024-10-01,420.6900024414061,426.6634050463108
MSFT,2024-10-02,417.1300048828126,427.928902162058
MSFT,2024-10-03,416.540008544922,428.44994412153585
MSFT,2024-10-04,416.0599975585938,429.13427432990477
MSFT,2024-10-07,409.540008544922,429.6572646265169
MSFT,2024-10-08,414.709991455078,430.5428350695808
MSFT,2024-10-09,417.45999145507824,430.24510946863705
MSFT,2024-10-10,415.8399963378905,429.53282928730545
MSFT,2024-10-11,416.3200073242189,429.007517427672
MSFT,2024-10-14,419.1400146484374,428.65322448036613
MSFT,2024-10-15,418.73999023437517,427.85546955531737
MSFT,2024-10-16,416.11999511718756,426.8855038482942
MSFT,2024-10-17,416.72000122070307,426.2364203072129
MSFT,2024-10-18,418.1600036621095,425.4656141842072
MSFT,2024-10-21,418.77999877929693,424.2685963955513
MSFT,2024-10-22,427.51000976562517,423.5490275409524
MSFT,2024-10-23,424.6000061035156,423.4753379038381
MSFT,2024-10-24,424.7300109863282,423.71598793770704
MSFT,2024-10-25,428.1499938964844,423.36564287415075
MSFT,2024-10-28,426.58999633789057,423.38669166444186
MSFT,2024-10-29,431.9500122070311,422.68723067459376
MSFT,2024-10-30,432.529998779297,422.8765720925539
MSFT,2024-10-31,406.35000610351557,424.3144231087632
MSFT,2024-11-01,410.36999511718767,424.1584174872448
MSFT,2024-11-04,408.4599914550783,424.33169829134727
MSFT,2024-11-05,411.45999145507807,424.3154335486319
